name,total_ops,threads,spent,throughput,latency
RwLock<FxHashMap>,16777216,1,1772288102,9466415.74869637,105
RwLock<FxHashMap>,16777216,2,2915089367,5755300.743066379,347
RwLock<FxHashMap>,16777216,3,3285170599,5106954.264447317,587
RwLock<FxHashMap>,16777216,4,4488536009,3737792.448664747,1070
RwLock<FxHashMap>,16777216,5,4662140227,3598608.1891826373,1389
RwLock<FxHashMap>,16777216,6,5599038610,2996445.8487633113,2002
RwLock<FxHashMap>,16777216,7,6502318813,2580189.695783223,2712
RwLock<FxHashMap>,16777216,8,7645958462,2194259.3702780176,3645
RwLock<FxHashMap>,16777216,9,9170628486,1829451.0595006999,4919
FxDashMap,16777216,1,2343330017,7159561.768204841,139
FxDashMap,16777216,2,1824552021,9195252.208158333,217
FxDashMap,16777216,3,1141175787,14701692.930328535,204
FxDashMap,16777216,4,1344582338,12477641.216792483,320
FxDashMap,16777216,5,1188444607,14116952.444549229,354
FxDashMap,16777216,6,930857444,18023399.93963673,332
FxDashMap,16777216,7,828590706,20247893.053244073,345
FxDashMap,16777216,8,1000719237,16765157.878143199,477
FxDashMap,16777216,9,964998434,17385744.275725946,517
FxDashMap,16777216,10,928529046,18068595.77767048,553
FxDashMap,16777216,11,881122899,19040721.809682533,577
FxDashMap,16777216,12,583570411,28749257.47391946,417
FxDashMap,16777216,13,605675960,27699986.639720686,469
FxDashMap,16777216,14,527770291,31788860.203197762,440
FxDashMap,16777216,15,722023124,23236397.06586461,645
FxDashMap,16777216,16,704475534,23815186.177920554,671
FxDashMap,16777216,17,720729398,23278106.937993944,730
FxDashMap,16777216,18,531376755,31573108.612927563,570
FxDashMap,16777216,19,530874252,31602994.37539871,601
FxDashMap,16777216,20,535284895,31342591.873435922,638
FxDashMap,16777216,21,750397409,22357774.425631046,939
FxDashMap,16777216,22,749409415,22387250.098799467,982
FxDashMap,16777216,23,732932964,22890519.084361993,1004
FxSeize,16777216,1,3085896287,5436740.071491586,183
FxSeize,16777216,2,1584764629,10586566.416860633,188
FxSeize,16777216,3,1070888105,15666637.7389634,191
FxSeize,16777216,4,835105244,20089942.10075874,199
FxSeize,16777216,5,681149848,24630727.070205554,202
FxSeize,16777216,6,583049645,28774935.623192087,208
FxSeize,16777216,7,518758429,32341095.704875764,216
FxSeize,16777216,8,473710654,35416589.97604052,225
FxSeize,16777216,9,544362969,30819906.85519977,292
FxSeize,16777216,10,499161526,33610795.55638669,297
FxSeize,16777216,11,465626713,36031472.2750883,305
FxSeize,16777216,12,442694565,37897948.8939513,316
FxSeize,16777216,13,434656470,38598795.043819316,336
FxSeize,16777216,14,414385803,40486946.8947516,345
FxSeize,16777216,15,391013028,42907051.16863779,349
FxSeize,16777216,16,376031511,44616516.194037795,358
FxSeize,16777216,17,431137149,38913872.39284268,436
FxSeize,16777216,18,438630934,38249048.80055724,470
FxSeize,16777216,19,416067717,40323282.27955259,471
FxSeize,16777216,20,446423198,37581416.18796431,532
FxSeize,16777216,21,423947917,39573766.793622434,530
FxSeize,16777216,22,442177285,37942283.7154559,579
FxSeize,16777216,23,410883003,40832100.32418887,563
FxFlurry,16777216,1,12157286717,1380013.1880199697,724
FxFlurry,16777216,2,26809774618,625787.282401689,3195
FxFlurry,16777216,3,71491197353,234675.26942036833,12783
FxShardedSeize,16777216,1,4256276646,3941758.8177138427,253
FxShardedSeize,16777216,2,2682775932,6253677.692528218,319
FxShardedSeize,16777216,3,1265985964,13252292.266330373,226
FxShardedSeize,16777216,4,1012094611,16576726.93605519,241
FxShardedSeize,16777216,5,775715372,21628056.63724813,231
FxShardedSeize,16777216,6,697370999,24057805.707518388,249
FxShardedSeize,16777216,7,694584394,24154323.28299619,289
FxShardedSeize,16777216,8,555730128,30189502.340603713,264
FxShardedSeize,16777216,9,641163936,26166811.727851145,343
FxShardedSeize,16777216,10,545141079,30775915.89827704,324
FxShardedSeize,16777216,11,593281755,28278664.99956669,388
FxShardedSeize,16777216,12,491198412,34155680.45443925,351
FxShardedSeize,16777216,13,460618810,36423210.767271966,356
FxShardedSeize,16777216,14,432689280,38774281.62768442,361
FxShardedSeize,16777216,15,496364951,33800162.49374545,443
FxShardedSeize,16777216,16,407455456,41175583.12926358,388
FxShardedSeize,16777216,17,544473527,30813648.72309026,551
FxShardedSeize,16777216,18,465467274,36043814.32839465,499
FxShardedSeize,16777216,19,488559814,34340147.345806874,553
FxShardedSeize,16777216,20,484576844,34622405.522951484,577
FxShardedSeize,16777216,21,448829631,37379920.66749265,561
FxShardedSeize,16777216,22,463257951,36215710.84486362,607
FxShardedSeize,16777216,23,449085701,37358606.52575086,615
FxEvmap,16777216,1,9256158123,1812546.3909601362,551
FxEvmap,16777216,2,14284613258,1174495.640657547,1702
FxEvmap,16777216,3,17701632734,947777.8830975039,3165
FxEvmap,16777216,4,18299761810,916799.6924873636,4363
FxEvmap,16777216,5,22184807067,756248.0011357045,6611
FxEvmap,16777216,6,26354277402,636603.1496172531,9425
FxEvmap,16777216,7,27244836418,615794.337781955,11367
FxEvmap,16777216,8,30288784814,553908.5210260822,14442
FxEvmap,16777216,9,29656634564,565715.4375960701,15909
FxEvmap,16777216,10,30499842354,550075.4989246592,18179
FxEvmap,16777216,11,30972385038,541683.0502208999,20307
FxEvmap,16777216,12,31500509052,532601.4247041128,22530
FxEvmap,16777216,13,29141361791,575718.3250503229,22580
FxEvmap,16777216,14,30092348297,557524.3192859286,25111
FxEvmap,16777216,15,28179937130,595360.3062562972,25194
FxEvmap,16777216,16,25009967967,670821.1710681556,23851
FxEvmap,16777216,17,22549521584,744016.4944299423,22848
FxEvmap,16777216,18,22485207385,746144.5968780421,24124
FxEvmap,16777216,19,22586143868,742810.1095101021,25578
FxEvmap,16777216,20,22715366028,738584.4445262136,27078
FxEvmap,16777216,21,22312647717,751915.0668621655,27928
FxEvmap,16777216,22,23058481316,727594.1450818139,30236
FxEvmap,16777216,23,22888267227,733005.0734556639,31377
