name,total_ops,threads,spent,throughput,latency
RwLock<FxHashMap>,16777216,1,1911881834,8775236.890503349,113
RwLock<FxHashMap>,16777216,2,2935890108,5714524.516528668,349
RwLock<FxHashMap>,16777216,3,3405616710,4926337.115605708,608
RwLock<FxHashMap>,16777216,4,4497499000,3730343.4642231157,1072
RwLock<FxHashMap>,16777216,5,4843651773,3463753.5451085367,1443
RwLock<FxHashMap>,16777216,6,5622404224,2983993.2049681097,2010
RwLock<FxHashMap>,16777216,7,6583068416,2548540.428233034,2746
RwLock<FxHashMap>,16777216,8,7862697727,2133773.4938465348,3749
RwLock<FxHashMap>,16777216,9,9178109196,1827959.947056616,4923
RwLock<FxHashMap>,16777216,10,10885185895,1541288.8821408595,6488
FxDashMap,16777216,1,1837860569,9128666.386878666,109
FxDashMap,16777216,2,2623266936,6395542.8133372385,312
FxDashMap,16777216,3,2275278669,7373697.221612725,406
FxDashMap,16777216,4,1631209995,10285135.605731744,388
FxDashMap,16777216,5,1377360802,12180698.024539832,410
FxDashMap,16777216,6,1247206994,13451829.632700088,446
FxDashMap,16777216,7,1302906857,12876757.774251241,543
FxDashMap,16777216,8,1237663446,13555555.877667895,590
FxDashMap,16777216,9,1040623726,16122269.347527832,558
FxDashMap,16777216,10,820050770,20458752.81599943,488
FxDashMap,16777216,11,937721326,17891473.228582624,614
FxDashMap,16777216,12,746242196,22482266.601820517,533
FxDashMap,16777216,13,833280763,20133929.336851858,645
FxDashMap,16777216,14,944106932,17770461.61970136,787
FxDashMap,16777216,15,892237273,18803536.354841344,797
FxDashMap,16777216,16,851081056,19712829.796554655,811
FxDashMap,16777216,17,742707706,22589258.01424228,752
FxDashMap,16777216,18,917695589,18281896.743430898,984
FxDashMap,16777216,19,787670623,21299786.370222416,892
FxDashMap,16777216,20,912865361,18378631.413532186,1088
FxDashMap,16777216,21,911888207,18398325.44297834,1141
FxDashMap,16777216,22,752466048,22296309.6402723,986
FxDashMap,16777216,23,754174933,22245788.431687374,1033
FxSeize,16777216,1,2522356462,6651405.641016017,150
FxSeize,16777216,2,4499034526,3729070.293424994,536
FxSeize,16777216,3,2572856034,6520853.004711884,460
FxSeize,16777216,4,1869584556,8973766.897120219,445
FxSeize,16777216,5,1463690800,11462267.850559695,436
FxSeize,16777216,6,1272550335,13183931.148782417,455
FxSeize,16777216,7,1103918753,15197872.084704043,460
FxSeize,16777216,8,983548905,17057836.08187739,468
FxSeize,16777216,9,1012457401,16570787.060699258,543
FxSeize,16777216,10,937806887,17889840.896423273,558
FxSeize,16777216,11,849914056,19739897.08907697,557
FxSeize,16777216,12,823351129,20376744.99866994,588
FxSeize,16777216,13,769270624,21809250.836543057,596
FxSeize,16777216,14,739392048,22690555.092364207,616
FxSeize,16777216,15,701368959,23920670.831969343,627
FxSeize,16777216,16,702321694,23888221.22871802,669
FxSeize,16777216,17,729260064,23005806.60893012,738
FxSeize,16777216,18,688688346,24361115.005712613,738
FxSeize,16777216,19,705737230,23772610.097387098,799
FxSeize,16777216,20,691315042,24268553.38119491,824
FxSeize,16777216,21,685794486,24463912.06475813,858
FxSeize,16777216,22,674430235,24876132.666264586,884
FxSeize,16777216,23,667391462,25138493.605721317,914
FxFlurry,16777216,1,4178081325,4015531.2199434033,249
FxFlurry,16777216,2,6317163382,2655814.799377307,753
FxFlurry,16777216,3,5607294985,2992033.7782978257,1002
FxFlurry,16777216,4,3767714419,4452889.506538792,898
FxFlurry,16777216,5,2760807408,6076923.711297141,822
FxFlurry,16777216,6,2443949774,6864795.7410928365,874
FxFlurry,16777216,7,2234711306,7507554.08761511,932
FxFlurry,16777216,8,2171652012,7725554.512091875,1035
