name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,1659999940,10106756.991810493,98
FxDashMap,16777216,2,942376043,17803101.134225246,112
FxDashMap,16777216,3,691984712,24245067.425709255,123
FxDashMap,16777216,4,484182036,34650637.05915765,115
FxDashMap,16777216,5,403818452,41546432.35569632,120
FxDashMap,16777216,6,356742523,47028921.191993706,127
FxDashMap,16777216,7,307294477,54596542.58608755,128
FxDashMap,16777216,8,285444818,58775689.527493894,136
FxDashMap,16777216,9,341317651,49154258.35975884,183
FxDashMap,16777216,10,322446166,52031060.58950628,192
FxDashMap,16777216,11,280542105,59802844.92411576,183
FxDashMap,16777216,12,297482820,56397260.18463857,212
FxDashMap,16777216,13,302474249,55466592.79415221,234
FxDashMap,16777216,14,278828842,60170303.32895045,232
FxDashMap,16777216,15,263106714,63765822.41075003,235
FxDashMap,16777216,16,249290087,67299972.50151387,237
FxDashMap,16777216,17,291327949,57588762.27834907,295
FxDashMap,16777216,18,291940547,57467920.000848666,313
FxDashMap,16777216,19,275836201,60823111.46679402,312
FxDashMap,16777216,20,282903503,59303670.05741884,337
FxDashMap,16777216,21,293452283,57171870.767146155,367
FxDashMap,16777216,22,284697847,58929901.21558594,373
FxDashMap,16777216,23,262176809,63991990.99261293,359
FxSeize,16777216,1,2599840699,6453170.767906345,154
FxSeize,16777216,2,1350951184,12418817.347881313,161
FxSeize,16777216,3,939190339,17863488.691614404,167
FxSeize,16777216,4,700944933,23935141.278780024,167
FxSeize,16777216,5,576874717,29082945.57828576,171
FxSeize,16777216,6,481393447,34851359.328952394,172
FxSeize,16777216,7,399578992,41987232.40184759,166
FxSeize,16777216,8,376204204,44596035.40209243,179
FxSeize,16777216,9,438831903,38231532.13179216,235
FxSeize,16777216,10,402012606,41733059.4852043,239
FxSeize,16777216,11,374620825,44784525.79351401,245
FxSeize,16777216,12,341759840,49090659.68663843,244
FxSeize,16777216,13,338535424,49558228.801485784,262
FxSeize,16777216,14,319662166,52484209.21980488,266
FxSeize,16777216,15,309916963,54134552.16389688,277
FxSeize,16777216,16,292426579,57372404.57886011,278
FxSeize,16777216,17,371766413,45128380.115392506,376
FxSeize,16777216,18,349609338,47988466.48655592,375
FxSeize,16777216,19,373140159,44962236.29470019,422
FxSeize,16777216,20,358989837,46734515.216930784,427
FxSeize,16777216,21,366018476,45837074.08256626,458
FxSeize,16777216,22,342736591,48950758.22236909,449
FxSeize,16777216,23,346568627,48409505.918722406,475
