name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,2464055448,6808781.845237113,146
FxDashMap,16777216,2,1613748988,10396422.32141248,192
FxDashMap,16777216,3,1366817584,12274656.249959394,244
FxDashMap,16777216,4,1105877884,15170948.11528033,263
FxDashMap,16777216,5,1228390199,13657888.196810663,366
FxDashMap,16777216,6,1139437781,14724117.700639943,407
FxDashMap,16777216,7,1045410857,16048442.473751733,436
FxDashMap,16777216,8,1001708553,16748600.12900379,477
FxDashMap,16777216,9,690071585,24312283.485777784,370
FxDashMap,16777216,10,759810307,22080795.489919566,452
FxDashMap,16777216,11,886275002,18930034.088900097,581
FxDashMap,16777216,12,594917348,28200919.09641203,425
FxDashMap,16777216,13,605487988,27708586.020702362,469
FxDashMap,16777216,14,575613433,29146672.120836347,480
FxDashMap,16777216,15,552378787,30372665.270362746,493
FxDashMap,16777216,16,719351486,23322695.965070963,686
FxDashMap,16777216,17,743830584,22555157.53302233,753
FxDashMap,16777216,18,591450557,28366218.953446686,634
FxDashMap,16777216,19,769288128,21808754.599681016,871
FxDashMap,16777216,20,769118671,21813559.639875133,916
FxDashMap,16777216,21,541853442,30962645.430607047,678
FxDashMap,16777216,22,591665581,28355910.059267078,775
FxDashMap,16777216,23,742411093,22598283.024308205,1017
FxSeize,16777216,1,4321178239,3882555.8845456364,257
FxSeize,16777216,2,2532052936,6625934.142792345,301
FxSeize,16777216,3,1749513140,9589648.466429925,312
FxSeize,16777216,4,1352390313,12405602.020901196,322
FxSeize,16777216,5,1118686872,14997240.443168443,333
FxSeize,16777216,6,964088705,17402149.73268461,344
FxSeize,16777216,7,850685171,19722003.5942063,354
FxSeize,16777216,8,782812387,21431975.62866363,373
FxSeize,16777216,9,760645333,22056555.49588444,408
FxSeize,16777216,10,721147323,23264616.625360478,429
FxSeize,16777216,11,687465448,24404449.77825271,450
FxSeize,16777216,12,655876268,25579849.15532879,469
FxSeize,16777216,13,631909670,26550022.568890266,489
FxSeize,16777216,14,603494320,27800122.460141793,503
FxSeize,16777216,15,592641802,28309201.17916353,529
FxSeize,16777216,16,591188086,28378812.76247506,563
FxSeize,16777216,17,587867309,28539120.551777445,595
FxSeize,16777216,18,597253749,28090599.729328785,640
FxSeize,16777216,19,580785270,28887123.807392705,657
FxSeize,16777216,20,588387023,28513912.347111706,701
FxSeize,16777216,21,573721835,29242770.58411068,718
FxSeize,16777216,22,583447261,28755325.667729888,765
FxSeize,16777216,23,595038856,28195160.4182299,815
