name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,1839612028,9119975.160327666,109
FxDashMap,16777216,2,2638377668,6358913.738349608,314
FxDashMap,16777216,3,2196393855,7638528.0180088645,392
FxDashMap,16777216,4,1437505486,11671062.24177568,342
FxDashMap,16777216,5,1165300274,14397332.922964713,347
FxDashMap,16777216,6,1374836179,12203065.5406545,491
FxDashMap,16777216,7,1126334080,14895417.1749824,469
FxDashMap,16777216,8,1196635187,14020326.480672007,570
FxDashMap,16777216,9,1187079981,14133180.803762538,636
FxDashMap,16777216,10,1128420933,14867870.232960312,672
FxDashMap,16777216,11,1086431091,15442503.568779036,712
FxDashMap,16777216,12,1037479997,16171122.381649157,742
FxDashMap,16777216,13,825802194,20316264.744629633,639
FxDashMap,16777216,14,934046536,17961863.090727206,779
FxDashMap,16777216,15,746107715,22486318.882254153,667
FxDashMap,16777216,16,648878627,25855707.52664042,618
FxDashMap,16777216,17,860135440,19505318.83676366,871
FxDashMap,16777216,18,911819960,18399702.502673883,978
FxDashMap,16777216,19,914493813,18345904.325981483,1035
FxDashMap,16777216,20,909700886,18442563.108595237,1084
FxDashMap,16777216,21,907245713,18492472.060873765,1135
FxDashMap,16777216,22,898080408,18681195.86013728,1177
FxDashMap,16777216,23,744274226,22541713.005657673,1020
FxSeize,16777216,1,3172569723,5288210.335732313,189
FxSeize,16777216,2,4841539512,3465264.7073140317,577
FxSeize,16777216,3,2891167306,5802921.18176021,516
FxSeize,16777216,4,2120357564,7912446.600916788,505
FxSeize,16777216,5,1686116339,9950212.575456219,502
FxSeize,16777216,6,1439030956,11658690.12758055,514
FxSeize,16777216,7,1237294665,13559596.16943794,516
FxSeize,16777216,8,1164221310,14410675.922089074,555
FxSeize,16777216,9,1083497902,15484308.70888756,581
FxSeize,16777216,10,1002223068,16740001.837594902,597
FxSeize,16777216,11,923942650,18158287.20538012,605
FxSeize,16777216,12,865783059,19378083.02622378,619
FxSeize,16777216,13,816416044,20549836.230312984,632
FxSeize,16777216,14,783348111,21417318.5131993,653
FxSeize,16777216,15,747697475,22438508.301770046,668
FxSeize,16777216,16,740513405,22656194.859835118,706
FxSeize,16777216,17,759695011,22084146.60761804,769
FxSeize,16777216,18,751168664,22334818.801759813,805
FxSeize,16777216,19,746519377,22473918.98576264,845
FxSeize,16777216,20,740004861,22671764.584530212,882
FxSeize,16777216,21,726877347,23081220.05623598,909
FxSeize,16777216,22,728088698,23042818.884684846,954
FxSeize,16777216,23,723547984,23187426.917079214,991
