name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,1652622648,10151873.460226234,98
FxDashMap,16777216,2,946010588,17734702.140564203,112
FxDashMap,16777216,3,691041433,24278162.203915205,123
FxDashMap,16777216,4,489069360,34304369.42522836,116
FxDashMap,16777216,5,401487431,41787649.38721083,119
FxDashMap,16777216,6,362162445,46325112.47818641,129
FxDashMap,16777216,7,298199422,56261732.1236793,124
FxDashMap,16777216,8,278594272,60220965.34705495,132
FxDashMap,16777216,9,362288451,46309000.338517554,194
FxDashMap,16777216,10,323789856,51815137.77874499,192
FxDashMap,16777216,11,296310040,56620477.65914378,194
FxDashMap,16777216,12,278731700,60191273.54369811,199
FxDashMap,16777216,13,295400134,56794882.83509039,228
FxDashMap,16777216,14,269212230,62319665.04642081,224
FxDashMap,16777216,15,264262520,63486929.58804752,236
FxDashMap,16777216,16,252198610,66523824.21933254,240
FxDashMap,16777216,17,299986404,55926587.92629816,303
FxDashMap,16777216,18,282621534,59362836.803511225,303
FxDashMap,16777216,19,292323826,57392571.20971043,331
FxDashMap,16777216,20,274166250,61193586.00848938,326
FxDashMap,16777216,21,305515411,54914467.14614341,382
FxDashMap,16777216,22,292686616,57321432.14912157,383
FxDashMap,16777216,23,266075259,63054400.709988594,364
FxSeize,16777216,1,2623170324,6395778.362732042,156
FxSeize,16777216,2,1359493071,12340788.16426715,162
FxSeize,16777216,3,918125223,18273341.783574983,164
FxSeize,16777216,4,704558769,23812372.70499432,167
FxSeize,16777216,5,570121335,29427448.106287763,169
FxSeize,16777216,6,494862001,33902817.28259026,176
FxSeize,16777216,7,429197037,39089775.9156711,179
FxSeize,16777216,8,393275283,42660235.01914307,187
FxSeize,16777216,9,440623803,38076054.642921776,236
FxSeize,16777216,10,400012034,41941778.1816034,238
FxSeize,16777216,11,377578702,44433692.66098065,247
FxSeize,16777216,12,356646062,47041640.964480914,255
FxSeize,16777216,13,344337233,48723211.99142586,266
FxSeize,16777216,14,322278822,52058077.83423013,268
FxSeize,16777216,15,311565504,53848117.92257977,278
FxSeize,16777216,16,295979039,56683797.80096522,282
FxSeize,16777216,17,382509657,43860895.25577651,387
FxSeize,16777216,18,383827017,43710357.1581049,411
FxSeize,16777216,19,353699728,47433499.86404287,400
FxSeize,16777216,20,364198533,46066127.34488966,434
FxSeize,16777216,21,383586215,43737796.99043669,480
FxSeize,16777216,22,354749416,47293146.21338235,465
FxSeize,16777216,23,364421913,46037890.1528899,499
